"id","account_id","legacy_id","ear_tag","ear_tag_loc","tattoo_left","tattoo_right","brand","brand_loc","name","ph_number","ph_number_loc","reg_num","reg_num_2","other_id","other_id_loc","electronic_id","animal_type","sex","category_id","breed_id","horn_status","color_markings","ocv_tattoo","ocv_number","status","pasture_id","sire_animal_id","dam_animal_id","genetic_dam_animal_id","real_dam_animal_id","sire_legacy_id","dam_legacy_id","genetic_dam_legacy_id","breeder_contact_id","birth_date","weaning_date","yearling_date","percent_dam_weight","conception_method","grafted_calf","purchase_date","purchased","purchased_from_contact_id","purchase_price","sale_ticket_id","sale_price","sale_weight","marketing_cost","reason_for_sale","death_date","cause_of_death","asking_price","marketing_comments","mppa","avg_calving_interval","avg_post_partum_interval","last_breeding_date","last_calving_date","current_breeding_status","next_calving_date","pelvic_area","pelvic_horizontal","pelvic_vertical","comments","donor_cow","ai_bull","promote_date","demote_date","birth_weight","weaning_weight","yearling_weight","adj_birth_weight","adj_weaning_weight","adj_yearling_weight","last_tip_to_tip","last_total_horn","last_base","last_composite","last_horn_measure_date","last_weight","last_height","last_bcs","last_weight_date","created_at","updated_at","embryo_recovery_date","nait_number","nlis_number","last_treatment_date","withdrawal_date","castration_date","next_booster_date","breeding_id","pelvic_measure_date","embryo_transfer_date"
"19610907","48210","","47S1-YELLOW","RE","","","ZR","LH","ZR MS DIMAGGIO 47S1","","","R10056370","","","","982000374771563","Cow","Heifer","","953211","","","","","Active","403501","","","","","","","","1344339","2006-10-30","","","","NS","false","2012-08-31","true","1344339","1000.0","","","","","","","","","","","374","89","2017-12-10","2017-02-22","Exposed","2018-09-21","","","","","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:34:31 -0600","2018-01-24 09:32:57 -0600","","","","2016-07-30","","","","","",""
"19610913","48210","","47S","LE","","","ZR 47","LH","ZR MS SUNDANCE 47S","","","R10056369","","","","","Cow","Heifer","","953211","Polled","Solid Black","","","Dead","","","","","","","","","1344339","2006-10-23","","","","NS","false","2012-08-13","true","1344339","1000.0","","","","","","2014-09-22","Found Dead","","","","","","2014-07-01","2013-11-01","","","","","","","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:35:32 -0600","2015-12-27 23:16:24 -0600","","","","2014-09-30","","","","","",""
"19610916","48210","","19-YELLOW","LE","","","ZR","LH","ZR MS EXACTO 2S9 OF 76E","","","R10056365","","","","982000374771579","Cow","Heifer","","953211","","","","","Active","403501","","","","","","","","1344339","2006-09-29","","","","NS","false","2012-08-31","true","1344339","1000.0","","","","","","","","","","","743","458","2018-02-18","2018-02-18","Open","","","","","Original 2S9","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:36:40 -0600","2018-02-20 06:04:40 -0600","","","","2016-07-30","","","","","",""
"19610922","48210","","2Y-YELLOW","LE","","","1/1","LH","RR MS RIGHT DIRECTION 2Y","","","R10033505","","","","982000373732053","Cow","Heifer","","953211","","Solid Black","17R3","","Active","443994","","","","","","","","1344339","2011-04-15","2011-11-05","2012-03-15","","NS","false","2012-08-31","true","1344339","1000.0","","","","","","","","","","","377","92","2018-02-04","2018-03-30","Open","","","","","","false","false","","","77","585","879","","","","","","","","","879","","","2012-03-15","2013-11-12 09:37:50 -0600","2018-04-22 07:05:47 -0500","","","","2017-04-15","","","","","",""
"19692244","48210","","17U","RE","","","17U","LH","SJ MS COOL HAND 17U","","","R10126509","","","","","Cow","Heifer","","953211","Polled","Solid Black","","","Sold","","","","","","","","","1344339","2008-09-04","2009-04-15","2009-10-15","","NS","false","2013-11-16","true","1344339","1800.0","713007","1705.0","1550","74.85","Poor Breeder","","","","","","","","2014-06-27","","","","","","","Purchased Bred","false","false","","","72","660","950","","","","","","","","","950","","","2009-10-15","2013-11-16 08:04:04 -0600","2015-12-27 23:16:24 -0600","","","","2014-08-03","","","","","",""
"19692250","48210","","17R3","LE","","","","","SJ MS WATASH 17R3","","","R10033505","","","","","Cow","Heifer","","953211","Polled","Solid Black","","","Dead","","","","","","","","","1344339","2005-09-03","2006-04-03","2006-10-07","","NS","false","2013-11-16","true","1344339","1800.0","","","","","","2014-10-07","Found Dead","","","","","","2014-06-27","2014-02-06","","","","","","Purchased bred, but no calf.  May be hard breeder.  If not breed Fall '14, sell.","false","false","","","76","580","838","","","","","","","","","838","","","2006-10-07","2013-11-16 08:04:52 -0600","2015-12-27 23:16:24 -0600","","","","2014-09-30","","","","","",""
"19692253","48210","","698Y-YELLOW","RE","","","","","","","","","","","","982000374771564","Cow","Heifer","","953211","Polled","Solid Black","","","Active","403501","","","","","","","","1344339","2012-04-14","","","","NS","false","2013-11-16","true","1344339","2200.0","","","","","","","","","","","392","107","2018-02-06","2018-02-06","Open","","","","","Purchased with heifer calf #60","false","false","","","","","","","","","","","","","","","","","","2013-11-16 08:05:50 -0600","2018-02-08 18:30:45 -0600","","","","2016-07-30","","","","","",""
"19692256","48210","","42S2","LE","","","42S2","LH","OKF MS LEAD GUN 42S2","","","R10049173","","","","","Cow","Heifer","","953211","Polled","","","","Sold","","","","","","","","","1344339","2006-01-31","","","","NS","false","2013-11-16","true","1344339","1800.0","713007","1450.8","1394","63.69","Poor Breeder","","","","","","","","2014-07-15","","","","","","","Purchased with bull calf #76","false","false","","","","","","","","","","","","","","","","","","2013-11-16 08:06:41 -0600","2015-12-27 23:16:24 -0600","","","","2014-08-03","","","","","",""
"19698700","48210","","RL Shelley Black Angus","","","","","","RL Shelley Black Angus","","","","","","","","Bull","Bull","","","","","","","Sold","","","","","","","","","","","","","","NS","false","","false","","","704336","1754.6","1415","76.15","Bull Sale","","","","","","","","","","","","","","","","false","false","","","","","","","","","","","","","","","","","","2013-11-18 09:21:28 -0600","2014-09-04 08:11:36 -0500","","","","","","","","","",""
"19721602","48210","","2B","LE","","","","","","","","","","","","","Calf","Steer","","958480","Polled","Black w/White Mottled Throat ","","","Sold","","19698700","19610778","","19610778","","","","1344099","2013-11-17","2014-07-15","","","NS","false","","false","","","691040","1339.5","705","59.34","Steer Sale","","","","","","","","","","","","","","","White mottling on chest","false","false","","","76","719","","76","625","","","","","","","719","","","2014-07-15","2013-11-19 07:10:22 -0600","2015-12-27 23:16:23 -0600","","","","2014-03-18","","","","","",""
