"id","animal_id","moved_from_pasture_id","moved_to_pasture_id","movement_date"
"42319307","22248044","328918","","2014-07-15"
"42328946","20469037","328918","","2014-07-15"
"42914471","20486326","339734","338297","2014-08-03"
"42914474","20512942","339734","338297","2014-08-03"
"42914477","21888790","338297","328918","2014-08-03"
"42914489","22294328","328918","327829","2014-08-03"
"43108376","22603205","0","327829","2014-08-08"
"43108379","22603208","0","327829","2014-08-14"
"43108382","22603214","0","327829","2014-08-08"
"43108391","22603223","0","327829","2014-08-14"
"43108394","22603226","0","327829","2014-08-08"
"43108877","22294328","327829","342386","2014-08-12"
"43425011","19698700","327829","","2014-09-04"
"43425182","22741778","0","327829","2014-09-04"
"43425206","22741802","0","327829","2014-09-03"
"43425212","22741808","0","327829","2014-09-03"
"43426319","22741982","0","327829","2014-09-03"
"43426322","22741985","0","327829","2014-09-04"
"43936578","19692244","328918","","2014-10-01"
"43936584","19692256","328918","","2014-10-01"
"43936599","23038509","0","328918","2014-10-01"
"43936602","23038509","328918","","2014-10-01"
"43936608","21545129","328918","","2014-10-01"
"43993944","23054805","0","328918","2014-10-05"
"44381226","23204550","0","328918","2014-10-16"
"44381229","23204553","0","328918","2014-10-16"
"44723574","23394207","0","328918","2014-10-02"
"47113778","23911661","0","328918","2014-12-01"
"47224727","22166200","328918","","2014-12-02"
"47224730","22227118","328918","","2014-12-02"
"47224733","20550916","328918","","2014-12-02"
"47224736","20881403","328918","","2014-12-02"
"47224793","20702293","328918","","2014-12-02"
"47948786","24258131","0","328918","2015-01-03"
"48068789","24299582","0","327829","2015-01-07"
"48284267","24384251","0","328918","2015-01-13"
"48322025","24414197","0","328918","2015-01-15"
"48594770","24487511","0","328918","2015-01-19"
"48624701","24503801","0","328918","2015-01-21"
"48624713","21819886","328918","","2015-01-21"
"48649376","24513113","0","327829","2014-12-15"
"48649379","24513116","0","327829","2014-12-15"
"48649382","24513119","0","327829","2014-12-15"
"48649385","24513122","0","327829","2014-12-15"
"48649388","24513125","0","327829","2014-12-15"
"48649391","24513128","0","327829","2014-12-15"
"48649394","24513131","0","327829","2014-12-15"
"48649397","24513134","0","327829","2014-12-15"
"48649400","24513137","0","327829","2014-12-15"
"48649403","24513140","0","327829","2014-12-15"
"48649406","24513143","0","327829","2014-12-15"
"48649409","24513146","0","327829","2014-12-15"
"48649412","24513149","0","327829","2014-12-15"
"48649415","24513152","0","327829","2014-12-15"
"48649418","24513155","0","327829","2014-12-15"
"48649421","24513158","0","327829","2014-12-15"
"48649424","24513161","0","327829","2014-12-15"
"48649427","24513164","0","327829","2014-12-15"
"48649430","24513167","0","327829","2014-12-15"
"48649433","24513170","0","327829","2014-12-15"
"48649436","24513173","0","327829","2014-12-15"
"48649439","24513176","0","327829","2014-12-15"
"48649442","24513179","0","327829","2014-12-15"
"48649445","24513182","0","327829","2014-12-15"
"48649448","24513185","0","327829","2014-12-15"
"48649451","24513188","0","327829","2014-12-15"
"48649454","24513191","0","327829","2014-12-15"
"48649457","24513194","0","327829","2014-12-15"
"48649664","24289301","0","327829","2014-12-05"
"48649667","24289304","0","327829","2014-12-05"
"48649670","24289307","0","327829","2014-12-05"
"48649673","24289310","0","327829","2014-12-05"
"48649676","24289313","0","327829","2014-12-05"
"48649679","24289316","0","327829","2014-12-05"
"48649682","24289319","0","327829","2014-12-05"
"48649685","24289322","0","327829","2014-12-05"
"48649688","24289325","0","327829","2014-12-05"
"48649691","24289328","0","327829","2014-12-05"
"48649694","24289331","0","327829","2014-12-05"
"48649697","24289334","0","327829","2014-12-05"
"48649700","24289337","0","327829","2014-12-05"
"48649703","24289340","0","327829","2014-12-05"
"48649706","24289343","0","327829","2014-12-05"
"48649709","24289346","0","327829","2014-12-05"
"48649712","24289349","0","327829","2014-12-05"
"48649715","24289352","0","327829","2014-12-05"
"48649718","24289355","0","327829","2014-12-05"
"48649721","24289358","0","327829","2014-12-05"
"48649724","24289361","0","327829","2014-12-05"
"48649727","24289364","0","327829","2014-12-05"
"48649730","24289367","0","327829","2014-12-05"
"48649733","24289370","0","327829","2014-12-05"
"48649736","24289373","0","327829","2014-12-05"
"48649739","24289376","0","327829","2014-12-05"
"48649742","24289379","0","327829","2014-12-05"
"48649745","24289382","0","327829","2014-12-05"
"48649748","24289385","0","327829","2014-12-05"
"48649751","24289388","0","327829","2014-12-05"
"48649754","24289391","0","327829","2014-12-05"
"48649757","24289394","0","327829","2014-12-05"
"48649760","24289397","0","327829","2014-12-05"
"48649763","24289400","0","327829","2014-12-05"
"48649841","22603214","327829","","2015-01-23"
"48649844","19692250","328918","","2015-01-23"
"48649847","19610913","328918","","2015-01-23"
"48729083","23008647","0","327829","2015-01-27"
"48729086","23054805","328918","327829","2015-01-27"
"48729494","24258131","328918","327829","2015-01-28"
"48729497","20493472","328918","327829","2015-01-28"
"48729500","22189510","328918","327829","2015-01-28"
"48746534","23008647","327829","","2015-01-28"
"48746537","23054805","327829","","2015-01-28"
"48746540","24258131","327829","","2015-01-28"
"49928736","25315314","0","327829","2015-03-13"
"49928745","25315323","0","328918","2015-03-13"
"49928748","25315326","0","328918","2015-03-13"
"50049911","25382777","0","328918","2015-03-18"
"50055875","25384562","0","328918","2015-03-19"
"50363657","25578131","0","328918","2015-03-30"
"50363693","25578134","0","327829","2015-03-30"
"50459948","25656836","0","328918","2015-04-03"
"50496872","25675931","0","328918","2015-04-04"
"50521457","25689146","0","328918","2015-04-06"
"50597507","25731950","0","327829","2015-04-08"
"50660099","25759949","0","327829","2015-04-10"
"50660366","25760039","0","328918","2015-04-10"
"50770013","25806287","0","328918","2015-04-14"
"50771834","25807601","0","328918","2015-04-14"
"50802830","25823078","0","328918","2015-04-15"
"50886527","25870592","0","328918","2015-04-19"
