"id","animal_id","tank_id","canister","units","collection_code","sex","purchased","purchase_date","purchased_from_contact_id","purchase_unit_price","asking_price","comments","created_at","updated_at"
"175243","22173322","21646","1","4","3/2/209","Bull","true","2014-04-02","1448671","40.0","","28CH0774/QUINTS01","2014-06-16 12:15:23 -0500","2014-06-16 12:21:52 -0500"
"175246","22173322","21646","1","21","3/3/2009","Bull","true","2014-04-02","1448671","40.0","","28CH0774/QUINTS01","2014-06-16 12:15:56 -0500","2014-06-16 12:22:16 -0500"
"175249","22173325","21646","1","8","3/2/2009","Bull","true","2014-04-02","1448671","40.0","","28CH0775/QUINTS01","2014-06-16 12:21:07 -0500","2014-06-25 07:26:39 -0500"
"175252","22173325","21646","1","15","3/2/2009","Bull","true","2014-04-02","1448671","40.0","","28CH0775/QUINTS01","2014-06-16 12:22:59 -0500","2014-06-25 07:26:56 -0500"
"179892","22133515","21646","2","24","028CH00852","Bull","true","2014-10-09","1448671","40.0","","","2014-10-09 16:26:08 -0500","2015-05-08 08:36:17 -0500"
"179895","22160740","21646","3","50","028CH00853","Bull","true","2014-10-09","1448671","40.0","","","2014-10-09 16:26:54 -0500","2014-10-09 16:33:16 -0500"
