ID	EAR TAG	TYPE	SEX	DOB	BREED	YEAR DEATH
21819886	MAIN 309A	COW	HEIFER	2013	CHAROLAIS	2015
24513119	R12UB-PURPLE	COW	HEIFER	2014	BRANGUS	2015
25953590	34C	CALF	STEER	2015	COMMERCIAL	2015
