"id","account_id","name","model","created_at","updated_at"
"16562","48210","Coat Color DNA","animal","2014-07-21 21:33:44 -0500","2014-07-21 21:33:44 -0500"
"17229","48210","Breeding Form","animal","2014-11-21 06:06:54 -0600","2014-11-21 06:06:54 -0600"
