ID	EAR TAG	TYPE	SEX	DOB	BREED
24289388	26-ORANGE	COW	HEIFER	2014	BRANGUS
24289391	47-YELLOW	COW	HEIFER	2014	BRANGUS
24289394	39-YELLOW	COW	HEIFER	2014	BRANGUS
24289397	27-ORANGE	COW	HEIFER	2014	BRANGUS
24289400	6-WHITE	COW	HEIFER	2014	BRANGUS
24299582	15C-WHITE	CALF	HEIFER	2015	CHAROLAIS
24384251	11C-WHITE	CALF	HEIFER	2015	CHAROLAIS
24414197	16C-WHITE	CALF	BULL	2015	CHAROLAIS
24487511	18C-WHITE	CALF	BULL	2015	CHAROLAIS
24503801	17C-WHITE	CALF	HEIFER	2015	CHAROLAIS
24513113	3595XB-PURPLE	COW	HEIFER	2014	BRANGUS
24513116	398UB-PURPLE	COW	HEIFER	2014	BRANGUS
24513122	2TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513125	5415XB-PURPLE	COW	HEIFER	2014	BRANGUS
24513128	3935B-PURPLE	COW	HEIFER	2014	BRANGUS
24513131	519UA-PURPLE	COW	HEIFER	2013	BRANGUS
24513134	535N39-PURPLE	COW	HEIFER	2014	BRANGUS
24513137	5216B-PURPLE	COW	HEIFER	2014	BRANGUS
24513140	36TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513143	389TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513146	364WB-PURPLE	COW	HEIFER	2014	BRANGUS
24513149	387TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513152	20TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513155	700TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513158	20P1A-PURPLE	COW	HEIFER	2013	BRANGUS
24513161	18PXB-PURPLE	COW	HEIFER	2014	BRANGUS
24513164	541TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513167	383WB-PURPLE	COW	HEIFER	2014	BRANGUS
24513170	80T6B-PURPLE	COW	HEIFER	2014	BRANGUS
24513176	526WA2-PURPLE	COW	HEIFER	2013	BRANGUS
24513179	396TB-PURPLE	COW	HEIFER	2014	BRANGUS
24513182	518TA-PURPLE	COW	HEIFER	2013	BRANGUS
24513185	3896UB-PURPLE	COW	HEIFER	2014	BRANGUS
24513188	23SXB-PURPLE	COW	HEIFER	2014	BRANGUS
