Animal Ear Tag	Animal Current Breeding Status	Animal Current Breeding Status	Animal Last Breeding Date	Breeding End Date	Breeding Date	Animal Last Calving Date	Breeding Method	Days Exposed	Estimated Calving Date	Embryo Mating	Sire Ear Tag
167-missing tag	Pregnant	Pregnant	2014-06-27		2014-06-10	2013-09-01	ET		2015-03-15	MAIN 33A x MAIN 846U	
167Z	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-15	NS		2015-04-24		1white
180-missing tag	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-25	NS		2015-04-08		1white
180-missing tag	Pregnant	Pregnant	2014-06-27		2013-04-01	2014-01-25	NS		2014-01-11		RL Shelley Black Angus
180-missing tag	Pregnant	Pregnant	2014-06-27		2014-06-10	2014-01-25	ET		2015-03-15	MAIN 33A x MAIN 846U	
188yellow	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-22	NS		2015-04-29		1white
188yellow	Pregnant	Pregnant	2014-06-27		2013-04-01	2014-01-22	NS		2014-01-11		RL Shelley Black Angus
212	Pregnant	Pregnant	2014-06-27		2014-06-10	2014-01-17	ET		2015-03-15	MAIN 33A x MAIN 831U	
212	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-17	NS		2015-04-08		1white
212	Pregnant	Pregnant	2014-06-27		2013-04-01	2014-01-17	NS		2014-01-11		RL Shelley Black Angus
232	Exposed	Exposed	2014-06-27		2014-06-27		NS		2015-04-08		1white
236	Pregnant	Pregnant	2014-06-24		2014-06-24	2014-02-01	AI		2015-04-05		17U
243	Pregnant	Pregnant	2014-07-01		2013-04-01	2014-01-25	NS		2014-01-11		RL Shelley Black Angus
243	Pregnant	Pregnant	2014-07-01		2014-07-01	2014-01-25	ET		2015-04-05	MAIN 33A x MAIN 846U	
243	Pregnant	Pregnant	2014-07-01		2014-07-01	2014-01-25	NS		2015-04-12		1white
250yellow	Pregnant	Pregnant	2014-06-27		2013-04-01	2014-01-26	NS		2014-01-11		RL Shelley Black Angus
250yellow	Pregnant	Pregnant	2014-06-27		2014-06-10	2014-01-26	ET		2015-03-15	MAIN 33A x MAIN 831U	
250yellow	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-26	NS		2015-04-08		1white
308A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
309A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
326A	Open	Open	2014-04-20	2014-04-20	2014-03-31		NS	20	2015-01-10		47A
332A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
333yellow	Open	Open	2014-06-27		2014-06-27	2014-09-26	NS		2015-04-08		1white
345A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
372A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
386A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
698Y	Open	Open	2014-06-27		2014-06-27	2014-10-03	NS		2014-10-23		1white
784S4	Pregnant	Pregnant	2014-06-27		2014-06-10	2014-01-26	ET		2015-03-15	MAIN 33A x MAIN 831U	
784S4	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-26	NS		2015-04-08		1white
Blank-Yellow	Pregnant	Pregnant	2014-03-18		2014-03-18		NS		2015-01-21		RL Shelley Black Angus
MAIN 126Y	Open	Open	2014-06-24		2014-06-24	2014-03-09	AI		2015-04-05		17U
MAIN 301A	Pregnant	Pregnant	2014-04-21	2014-04-21	2014-04-01		NS	20	2015-01-11		47A
