"id","account_id","name","legacy_id","created_at","updated_at"
"189970","48210","BB","","2014-04-29 18:50:36 -0500","2014-04-29 18:50:36 -0500"
"189979","48210","BR","","2014-04-29 22:05:29 -0500","2014-04-29 22:05:29 -0500"
