"id","animal_id","reporting_period","status","ced_epd","bw_epd","ww_epd","yw_epd","yh_epd","cem_epd","milk_epd","tm_epd","mww_epd","radg_epd","mw_epd","mh_epd","mg_epd","me_epd","sc_epd","hpg_epd","stay_epd","doc_epd","cw_epd","marb_epd","rea_epd","fat_epd","yg_epd","shear_epd","imf_epd","rump_epd","tend_epd","rp_epd","gl_epd","ced_acc","bw_acc","ww_acc","yw_acc","yh_acc","cem_acc","milk_acc","tm_acc","mww_acc","radg_acc","mw_acc","mh_acc","mg_acc","me_acc","sc_acc","hpg_acc","stay_acc","doc_acc","cw_acc","marb_acc","rea_acc","fat_acc","yg_acc","shear_acc","imf_acc","rump_acc","tend_acc","rp_acc","gl_acc","en_idx","w_idx","f_idx","g_idx","yg_idx","b_idx","bmi_idx","cez_idx","bii_idx","chb_idx","ap_idx","t_idx","mt_idx","qg_idx","dtf_epd","dtf_acc","cv_idx","carcass_idx","growth_idx","maternal_idx","udder_epd","udder_acc","teat_epd","teat_acc","dmi_epd","dmi_acc","scf_epd","scf_acc"
"4710695","22323179","Spring 2014","PE","66.0","1.5","51.0","96.0","","","19.5","45.0","","","","","","","","","","","22.0","-0.16","0.48","0.51","","","","","","","",".21",".54",".23",".12","","",".09",".14","","","","","","","","","","",".09",".05",".05",".07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710698","21819772","Spring 2014","PE","28.0","3.5","42.0","80.0","","","18.4","40.0","","","","","","","","","","","18.0","-0.41","0.45","-0.18","","","","","","","",".15",".35",".11",".07","","",".06",".08","","","","","","","","","","",".06",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710701","22325273","Spring 2014","PE","77.0","1.5","50.0","91.0","","","7.9","33.0","","","","","","","","","","","17.0","-0.55","0.29","0.87","","","","","","","",".3",".67",".5",".42","","",".22",".31","","","","","","","","","","",".15",".15",".17",".24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710704","22325366","Spring 2014","PE","51.0","2.3","38.0","70.0","","","15.0","34.0","","","","","","","","","","","11.0","0.61","0.22","-0.76","","","","","","","",".21",".43",".38",".25","","",".22",".25","","","","","","","","","","",".11",".13",".16",".22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710707","22323212","Spring 2014","PE","75.0","1.3","47.0","91.0","","","22.5","46.0","","","","","","","","","","","21.0","0.03","0.49","0.33","","","","","","","",".17",".42",".13",".07","","",".06",".08","","","","","","","","","","",".07",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710713","21905314","Spring 2014","PE","","2.3","37.0","75.0","","","20.0","39.0","","","","","","","","","","","17.0","0.05","0.42","-0.3","","","","","","","","",".07",".08",".04","","",".04",".05","","","","","","","","","","",".05",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710716","21905323","Spring 2014","PE","","1.8","40.0","79.0","","","22.5","42.0","","","","","","","","","","","18.0","0.12","0.46","-0.14","","","","","","","","","PE","PE","PE","","","PE","PE","","","","","","","","","","","PE","PE","PE","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710719","21905320","Spring 2014","PE","","1.3","42.0","84.0","","","25.0","46.0","","","","","","","","","","","19.0","0.19","0.49","0.03","","","","","","","","","PE","PE","PE","","","PE","PE","","","","","","","","","","","PE","PE","PE","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4937894","22741778","Fall 2014","Int","75.0","0.8","38.0","71.0","","","17.6","37.0","","","","","","","","","","","11.0","-0.06","0.28","-0.29","","","","","","","",".14",".34",".11",".09","","",".06",".08","","","","","","","","","","",".06",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4937897","22741802","Fall 2014","Int","75.0","1.1","38.0","73.0","","","20.2","39.0","","","","","","","","","","","12.0","-0.05","0.3","-0.16","","","","","","","",".14",".34",".11",".09","","",".06",".08","","","","","","","","","","",".06",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
