"id"	"name"	"sndx"
25351	"FARLEY"	"FRL"
25352	"RONALD"	"RNLT"
25353	"MARKET"	"MRKT"
25354	"RAILROAD"	"RLRT"
25355	"LUNDY"	"LNT"
25356	"TROCHTA"	"TRKT"
25357	"RAUN"	"RN"
25358	"CR 341"	"KR"
25359	"SOCHA"	"SX"
25360	"BEACH"	"PK"
25361	"FRANK STUBBS"	"FRNK"
25362	"FRANKE"	"FRNK"
25363	"TEGNER"	"TNR"
25364	"CR 421"	"KR"
25365	"MUNCY"	"MNS"
25366	"WEST"	"AST"
25367	"LIVE OAK"	"LFK"
25368	"MAYFIELD"	"MFLT"
25369	"ELM"	"ALM"
25370	"FORREST"	"FRST"
25371	"KIRBY"	"KRP"
25372	"MESA CROSSING"	"MSKR"
25373	"HOSKINS BROADWAY"	"HSKN"
25374	"MONSERATTE"	"MNSR"
25375	"OSCAR"	"ASKR"
25376	"THOMPSON"	"TMPS"
25377	"VASA"	"FS"
25378	"IDA MAE"	"ATM"
25379	"GARY"	"KR"
25380	"DEPOT"	"TPT"
25381	"CR 358"	"KR"
25382	"FM 960"	"FM"
25383	"BUNTON"	"PNTN"
25384	"AGNES"	"AKNS"
25385	"KAREN"	"KRN"
25386	"CR 305"	"KR"
25387	"AVE A"	"AF"
25388	"EAST"	"AST"
25389	"ROTH"	"R0"
25390	"SERENA"	"SRN"
25391	"CR 452"	"KR"
25392	"AMBAR"	"AMPR"
25393	"ROSEBUD"	"RSPT"
25394	"SHIMEK"	"XMK"
25395	"CR 405"	"KR"
25396	"ACOSTA"	"AKST"
25397	"HERRMANN"	"HRMN"
25398	"HUMPHREY"	"HMFR"
25399	"JOHN"	"JN"
25400	"LA"	"MTPR"
25401	"JENNIE"	"JN"
25402	"GLADYS"	"KLTS"
25403	"AVE G"	"AFK"
25404	"VALLEJO"	"FLJ"
25405	"HIGHLAND"	"HLNT"
25406	"DUNCAN"	"TNKN"
25407	"CR 362"	"KR"
25408	"DICKSON"	"TKSN"
25409	"PROSPERITY"	"PRSP"
25410	"WILSON"	"ALSN"
25411	"MERCHANT"	"MRXN"
25412	"LINDALE"	"LNTL"
25413	"FRED"	"FRT"
25414	"STRAND"	"STRN"
25415	"AVE I"	"AF"
25416	"EARL"	"ARL"
25417	"THRIFT"	"0RFT"
25418	"LEE"	"L"
25419	"CR 346"	"KR"
25420	"KERNEY"	"KRN"
25421	"ELLWOOD"	"ALT"
25422	"BRUCE"	"PRS"
25423	"GALLERY"	"KLR"
25424	"BORDEN"	"PRTN"
25425	"CR 404"	"KR"
25426	"SANDY CORNER"	"SNTK"
25427	"1ST"	"ST"
25428	"MARION"	"MRN"
25429	"MARIANETTE"	"MRNT"
25430	"CR 403"	"KR"
25431	"CHINA"	"XN"
25432	"HANCOCK"	"HNKK"
25433	"JAN"	"JN"
25434	"JAMES"	"JMS"
25435	"LENORA"	"LNR"
25436	"ODIS"	"ATS"
25437	"SPRUCE"	"SPRS"
25438	"MAGGIE"	"MJ"
25439	"SAM HOUSTON"	"SMST"
25440	"CENTRAL"	"SNTR"
25441	"WATT"	"AT"
25442	"ERIN"	"ARN"
25443	"BODE"	"PT"
25444	"BLUE CREEK"	"PLKR"
25445	"HARLEM"	"HRLM"
25446	"PECAN"	"PKN"
25447	"MABLE"	"MPL"
25448	"BYRNE"	"PRN"
25449	"BENCHMARK"	"PNXM"
25450	"SINGLETON"	"SNKL"
25451	"EL PRADO"	"ALPR"
25452	"CR 303"	"KR"
25453	"QUAIL HOLLOW"	"KLL"
25454	"MARTIN"	"MRTN"
25455	"EUGENE"	"AJN"
25456	"BARD"	"PRT"
25457	"4TH"	0
25458	"SABLA"	"SPL"
25459	"KENWOOD"	"KNT"
25460	"DONNA"	"TN"
25461	"SHROPSHIRE"	"XRPX"
25462	"KENTUCKY"	"KNTK"
25463	"ELLA"	"AL"
25464	"GEORGIA"	"JRJ"
25465	"MECHANIC"	"MXNK"
25466	"HIGBEE"	"HKP"
25467	"WILLIAM"	"ALM"
25468	"CANDY"	"KNT"
25469	"AVE J"	"AFJ"
25470	"US 59"	"AS"
25471	"AVE D"	"AFT"
25472	"LYNN"	"LN"
